Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
6,-34.1312,-418.5456,-281.085,134.6508,-129.3304,-452.67679999999996,-275.7646,-728.4413999999999,4
7,-33.5901,-439.1659,-267.0803,133.0018,-129.3098,-472.75600000000003,-263.3883,-736.1443,4
8,-38.4461,-423.1701,-285.8314,137.174,-130.0242,-461.6162,-278.6816,-740.2978,4
9,-35.3491,-422.3309,-280.4391,133.5641,-129.1101,-457.68,-275.9851,-733.6651,4
10,-33.3276,-430.1528,-280.4533,135.4919,-130.0362,-463.48040000000003,-274.99760000000003,-738.4780000000001,4
11,-35.7775,-408.4159,-295.8484,132.912,-129.2966,-444.1934,-292.23300000000006,-736.4264,4
12,-40.2732,-425.4905,-278.9777,134.4666,-129.3093,-465.7637,-273.82040000000006,-739.5841,4
13,-40.9804,-414.1116,-280.6988,133.5783,-129.9934,-455.092,-277.1139,-732.2058999999999,4
14,-43.9143,-421.1414,-271.5517,132.312,-128.9133,-465.0557,-268.15299999999996,-733.2086999999999,4
15,-35.3812,-417.7179,-275.3835,132.4632,-128.8619,-453.09909999999996,-271.7822,-724.8813,4
16,-37.361,-428.9365,-266.1339,133.8712,-128.3346,-466.2975,-260.5973,-726.8947999999999,4
17,-36.1375,-442.1879,-261.8438,131.504,-128.6276,-478.3254,-258.9674,-737.2928,4
18,-36.0368,-459.853,-243.6824,132.7231,-128.805,-495.88980000000004,-239.76430000000002,-735.6541000000002,4
19,-30.6588,-423.3679,-276.4932,133.2192,-130.145,-454.0267,-273.419,-727.4457,4
0,-35.1044,-421.8714,-279.9991,134.0366,-129.9285,-456.9758,-275.891,-732.8667999999999,5
1,-33.07,-433.7376,-273.7197,133.0018,-129.0458,-466.8076,-269.7637,-736.5713,5
2,-37.9302,-429.3843,-279.1508,132.4348,-129.2176,-467.3145,-275.9336,-743.2481,5
3,-36.7312,-413.3641,-280.9747,133.5547,-129.7778,-450.0953,-277.19780000000003,-727.2930999999999,5
4,-33.2348,-431.605,-269.3023,134.1925,-130.636,-464.8398,-265.74580000000003,-730.5856,5
5,-33.3589,-432.387,-276.4879,134.3012,-131.7749,-465.7459,-273.96160000000003,-739.7075,5
6,-33.5883,-420.0222,-283.8035,135.3832,-130.8276,-453.6105,-279.24789999999996,-732.8584,5
7,-34.7515,-409.2293,-276.6641,133.4838,-130.2141,-443.98080000000004,-273.3944,-717.3752000000001,5
8,-31.4947,-412.2417,-279.1147,135.8652,-131.4568,-443.7364,-274.70630000000006,-718.4427000000001,5
9,-31.5636,-411.3029,-278.2417,133.7673,-130.4864,-442.86650000000003,-274.96079999999995,-717.8273,5
